000000391895	[4, 1, 2]
000000318219	[1, 65, 67, 63]
000000554625	[63, 1, 65, 67]
000000086408	[73, 69, 70]
000000204805	[9, 1]
000000113588	[63, 1, 64, 65, 67]
000000384553	[1, 21]
000000012448	[1, 78]
000000540186	[72]
000000269105	[59, 62]
000000060760	[62]
000000166532	[72]
000000360772	[62]
000000191381	[62]
000000340559	[72]
000000258985	[59, 62]
000000509822	[2]
000000229643	[1, 72]
000000166323	[72]
000000086320	[72]
000000256668	[62]
000000081922	[3, 5]
000000050125	[3, 6, 8]
000000364521	[62]
000000001146	[28, 1]
000000097434	[3, 4, 1, 8]
000000310103	[4]
000000032992	[76]
000000138246	[18]
000000197254	[18, 1]
000000251252	[4, 1]
000000037675	[18, 1]
000000159537	[75]
000000075051	[62]
000000549399	[4]
000000015827	[1, 4]
000000510755	[4]
000000175831	[4, 1]
000000079472	[68, 64, 65, 63]
000000315601	[4, 6, 1, 3, 8]
000000503707	[3, 4, 1]
000000074331	[47]
000000579664	[47]
000000369763	[4, 1, 3, 8]
000000199951	[3, 4, 1, 8]
000000213687	[3, 4, 1]
000000108094	[3, 4, 1]
000000368978	[5]
000000077123	[5, 8]
000000513681	[5, 1, 8]
000000437370	[5, 1]
000000078371	[5]
000000560623	[5, 8]
000000289173	[5, 1, 8]
000000052759	[5, 1, 8]
000000561100	[5]
000000150410	[5, 1, 8]
000000009426	[5]
000000014869	[14]
000000281221	[24]
000000440575	[5]
000000545959	[15, 19, 20]
000000511058	[24]
000000091227	[24]
000000170629	[6, 1]
000000207797	[24]
000000179558	[24]
000000368117	[10]
000000015085	[24]
000000467522	[24]
000000040102	[24]
000000403020	[24]
000000006005	[1, 24]
000000521634	[10]
000000402559	[24]
000000484816	[6]
000000081561	[10]
000000227125	[10]
000000189550	[1, 24]
000000505440	[24]
000000067868	[14]
000000241691	[24, 1]
000000545293	[14]
000000439969	[11]
000000410437	[11]
000000431573	[11]
000000127474	[1, 11]
000000028758	[23, 24]
000000163020	[15]
000000281455	[15]
000000380932	[11]
000000231408	[15, 16]
000000305821	[24]
000000459374	[11]
000000190056	[24, 1]
000000121041	[15]
000000156397	[19]
000000173574	[19]
000000267571	[24]
